Age,Industry,JobTitle,AnnualSalary,AdditionalCompensation,State,City,YearsExperience,YearsInField,Education,Gender,Race,TotalCompensation,id
25-34,Government and Public Administration,Policy Analyst,78000,0.0,New York,NYC,5-7 years,2 - 4 years,Master's degree,Woman,White,78000.0,36.0
18-24,Law,Attorney,65000,5000.0,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,Master's degree,Woman,White,70000.0,27.0
65 or over,Health care,RN,110000,10000.0,Wisconsin,Milwaukee,41 years or more,31 - 40 years,Master's degree,Woman,White,120000.0,55.0
35-44,"Accounting, Banking & Finance",Bookkeeper self-employed,114400,0.0,Virginia,Charlottesville,21 - 30 years,11 - 20 years,College degree,Woman,White,114400.0,51.0
25-34,Education (Higher Education),Assistant Director of Undergraduate Admissions,58300,0.0,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,58300.0,11.0
25-34,Nonprofits,Director of strategic initiatives ,700000,0.0,New York,ROCHESTER ,11 - 20 years,5-7 years,College degree,Woman,White,700000.0,36.0
35-44,Computing or Tech,Software Engineer,156000,189000.0,Massachusetts,Metro Boston,21 - 30 years,21 - 30 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,345000.0,25.0
45-54,Computing or Tech,Agile Coach,130000,13000.0,Minnesota,Twin cities metro area,11 - 20 years,8 - 10 years,College degree,Woman,White,143000.0,27.0
35-44,Computing or Tech,principle product marketing manager,126000,15000.0,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White,141000.0,48.0
45-54,Engineering or Manufacturing,Sr. Environmental Manager,125000,3500.0,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,College degree,Man,White,128500.0,42.0
35-44,Education (Higher Education),Executive Office & Admin Specialist,38480,0.0,Minnesota,Duluth,11 - 20 years,5-7 years,College degree,Woman,White,38480.0,27.0
35-44,Nonprofits,Early Intervention developmental specialist,36000,1000.0,Massachusetts,South Hadley,11 - 20 years,2 - 4 years,Master's degree,Man,White,37000.0,25.0
25-34,Nonprofits,Grants coordinator,55000,0.0,New York,New York ,8 - 10 years,2 - 4 years,Master's degree,Woman,White,55000.0,36.0
25-34,"Marketing, Advertising & PR",Account Executive,53500,0.0,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White,53500.0,17.0
25-34,Government and Public Administration,Youth Services Librarian,49600,0.0,Texas,DFW area,8 - 10 years,2 - 4 years,Master's degree,Woman,"Asian or Asian American, White",49600.0,48.0
25-34,Nonprofits,Associate Director of Annual Giving,50000,0.0,Georgia,Atlanta,8 - 10 years,5-7 years,College degree,Woman,White,50000.0,13.0
25-34,"Accounting, Banking & Finance",Cash Logistics Manager,57750,5750.0,Texas,Houston,11 - 20 years,2 - 4 years,Master's degree,Woman,White,63500.0,48.0
25-34,Nonprofits,Legislative Analyst,65000,0.0,California,Sacramento,8 - 10 years,5-7 years,College degree,Woman,White,65000.0,6.0
25-34,Health care,Medical Receptionist,43680,0.0,Massachusetts,North Andover,5-7 years,2 - 4 years,College degree,Woman,White,43680.0,25.0
25-34,Nonprofits,Senior Marketing Specialist,65000,2700.0,Washington,Bellevue,8 - 10 years,5-7 years,College degree,Woman,White,67700.0,53.0
35-44,Education (Primary/Secondary),High School counselor ,75000,0.0,Georgia,Suwanee ,21 - 30 years,11 - 20 years,Master's degree,Woman,White,75000.0,13.0
18-24,"Marketing, Advertising & PR",Developer,72500,3000.0,Illinois,Chicago,5-7 years,1 year or less,College degree,Woman,White,75500.0,17.0
35-44,Education (Higher Education),Payroll Manager,105000,0.0,Connecticut,Fairfield,11 - 20 years,11 - 20 years,College degree,Woman,White,105000.0,9.0
35-44,Computing or Tech,Senior user experience researcher,179000,130000.0,New York,New York city,11 - 20 years,8 - 10 years,PhD,Woman,White,309000.0,36.0
35-44,"Marketing, Advertising & PR",Freelance content writer/copy editor,77000,0.0,Connecticut,Manchester,21 - 30 years,5-7 years,College degree,Woman,White,77000.0,9.0
25-34,Computing or Tech,Salesforce Administrator ,64200,3000.0,Wisconsin,Madison,5-7 years,2 - 4 years,Master's degree,Other or prefer not to answer,White,67200.0,55.0
55-64,Health care,Account Manager,43500,0.0,Pennsylvania,Pittsburgh,21 - 30 years,11 - 20 years,College degree,Woman,White,43500.0,42.0
25-34,Engineering or Manufacturing,Engineer,92000,2000.0,Texas,DFW,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",94000.0,48.0
55-64,Government and Public Administration,Assistant General Counsel,170000,3000.0,District of Columbia,DC,21 - 30 years,21 - 30 years,Master's degree,Woman,White,173000.0,11.0
25-34,Health care,Pharmacist,125000,500.0,Pennsylvania,Pittsburgh,5-7 years,5-7 years,PhD,Woman,White,125500.0,42.0
55-64,"Accounting, Banking & Finance","IT Director, Project Management ",186000,0.0,New Jersey,Cherry Hill,31 - 40 years,31 - 40 years,College degree,Man,White,186000.0,34.0
25-34,"Accounting, Banking & Finance",Staff Accountant,61800,1000.0,Ohio,Cleveland,8 - 10 years,5-7 years,College degree,Man,White,62800.0,39.0
25-34,"Accounting, Banking & Finance","SVP, risk management",155000,31000.0,Massachusetts,Fully Remote (Greater Boston),8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,186000.0,25.0
25-34,Education (Higher Education),Statistical Analyst,71750,0.0,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White,71750.0,42.0
35-44,Engineering or Manufacturing,Sales Account Manager,70000,0.0,Wisconsin,Milwaukee,8 - 10 years,2 - 4 years,Master's degree,Man,Asian or Asian American,70000.0,55.0
35-44,Computing or Tech,Program Manager,157000,0.0,Colorado,Denver,21 - 30 years,21 - 30 years,College degree,Woman,White,157000.0,8.0
25-34,Nonprofits,Senior research assistant,42120,0.0,New Jersey,East Hanover,2 - 4 years,2 - 4 years,College degree,Woman,White,42120.0,34.0
25-34,Nonprofits,Community Support Manager,85000,0.0,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Man,White,85000.0,11.0
35-44,Computing or Tech,Junior Project Manager,86000,3000.0,Colorado,Denver,8 - 10 years,8 - 10 years,College degree,Woman,White,89000.0,8.0
35-44,Computing or Tech,Business Analyst,85000,7000.0,Pennsylvania,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Woman,White,92000.0,42.0
45-54,Education (Primary/Secondary),teacher,94000,0.0,Connecticut,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White,94000.0,9.0
45-54,Computing or Tech,Software Development Project Manager,104000,0.0,Louisiana,New Orleans,21 - 30 years,21 - 30 years,Master's degree,Woman,White,104000.0,22.0
45-54,Computing or Tech,Human Resources Manager,88000,8800.0,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman,White,96800.0,27.0
25-34,Computing or Tech,Programmer Analyst 2,65000,3000.0,Missouri,Jefferson City,8 - 10 years,8 - 10 years,College degree,Woman,White,68000.0,29.0
45-54,Computing or Tech,Sr development Manager,175000,175000.0,Colorado,Denver,21 - 30 years,11 - 20 years,College degree,Man,White,350000.0,8.0
45-54,Nonprofits,Office Administrator ,36712,0.0,Washington,Bellevue,11 - 20 years,5-7 years,Some college,Woman,White,36712.0,53.0
35-44,Computing or Tech,Software Engineer,112000,0.0,Florida,Melbourne,11 - 20 years,8 - 10 years,College degree,Woman,White,112000.0,12.0
25-34,Health care,Speech-Language Pathologist,60000,0.0,Ohio,Medina,8 - 10 years,8 - 10 years,Master's degree,Woman,White,60000.0,39.0
35-44,Law,Transcriptionist,50000,0.0,Minnesota,Minneapolis,11 - 20 years,2 - 4 years,High School,Woman,White,50000.0,27.0
18-24,Government and Public Administration,Disease Intervention Specialist,52000,0.0,Montana,Prefer not to say (Montana is small!),2 - 4 years,1 year or less,College degree,Woman,White,52000.0,30.0
25-34,Government and Public Administration,Lead Planner,57000,0.0,Texas,El Paso,5-7 years,2 - 4 years,Master's degree,Woman,White,57000.0,48.0
25-34,"Accounting, Banking & Finance",Internal Auditor ,51000,1500.0,Kentucky,Lexington ,5-7 years,5-7 years,College degree,Woman,White,52500.0,21.0
25-34,"Accounting, Banking & Finance",CPA,54000,0.0,Wisconsin,La Crosse,5-7 years,2 - 4 years,College degree,Woman,White,54000.0,55.0
25-34,Education (Higher Education),Director of Distance Education,56000,0.0,Missouri,Springfield,8 - 10 years,8 - 10 years,Master's degree,Woman,White,56000.0,29.0
25-34,Education (Higher Education),Assistant Professor,56000,8000.0,Wisconsin,Milwaukee,2 - 4 years,5-7 years,PhD,Woman,White,64000.0,55.0
18-24,Nonprofits,Program Coordinator,39000,0.0,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Woman,White,39000.0,11.0
25-34,"Accounting, Banking & Finance",Billing & Accounts Receivable Coordinator ,40000,2000.0,Ohio,Canton,8 - 10 years,2 - 4 years,College degree,Woman,White,42000.0,39.0
35-44,"Accounting, Banking & Finance",Branch Manager,65000,3000.0,Texas,Richardson,11 - 20 years,11 - 20 years,Some college,Woman,White,68000.0,48.0
25-34,Government and Public Administration,program analyst,126000,1000.0,District of Columbia,DC,8 - 10 years,8 - 10 years,College degree,Woman,White,127000.0,11.0
45-54,Health care,Clinical Pharmacist ,146000,0.0,Massachusetts,Boston ,11 - 20 years,11 - 20 years,PhD,Woman,White,146000.0,25.0
25-34,Engineering or Manufacturing,Senior Engineer,100000,2500.0,Colorado,Golden,8 - 10 years,8 - 10 years,PhD,Woman,White,102500.0,8.0
25-34,"Accounting, Banking & Finance",Senior Associate,135000,5000.0,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,College degree,Woman,White,140000.0,11.0
25-34,Computing or Tech,Technical Project Manager,131000,14000.0,California,Bay Area,8 - 10 years,5-7 years,College degree,Woman,White,145000.0,6.0
25-34,Nonprofits,Financial Administrator,50000,0.0,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,White,50000.0,8.0
25-34,Computing or Tech,Marketing Specialist,70000,0.0,Virginia,Richmond,8 - 10 years,5-7 years,College degree,Woman,White,70000.0,51.0
25-34,Government and Public Administration,Archivist,107000,0.0,Maryland,College Park,8 - 10 years,5-7 years,Master's degree,Woman,White,107000.0,24.0
45-54,Law,Equity Partner,600000,0.0,Pennsylvania,Philadelphia,21 - 30 years,21 - 30 years,PhD,Woman,White,600000.0,42.0
35-44,Law,Counsel,120000,5000.0,New York,I work remotely,11 - 20 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",125000.0,36.0
35-44,Education (Primary/Secondary),Programmer Analyst,82000,0.0,Wisconsin,Madison,11 - 20 years,11 - 20 years,College degree,Man,White,82000.0,55.0
35-44,Computing or Tech,Sales,65000,35000.0,Illinois,"Springfield, IL",11 - 20 years,8 - 10 years,College degree,Woman,White,100000.0,17.0
45-54,Computing or Tech,Instructional designer,80000,0.0,North Carolina,Durham,21 - 30 years,2 - 4 years,College degree,Woman,White,80000.0,37.0
25-34,Computing or Tech,Proposal Manager,180000,20000.0,North Carolina,Wilmington,8 - 10 years,8 - 10 years,College degree,Woman,White,200000.0,37.0
35-44,Computing or Tech,Business Architect,157029,31405.0,California,San Jose,11 - 20 years,8 - 10 years,Master's degree,Woman,White,188434.0,6.0
35-44,Computing or Tech,Backend Elixir Engineer,120000,0.0,Ohio,Columbus,11 - 20 years,2 - 4 years,Some college,Woman,White,120000.0,39.0
25-34,"Accounting, Banking & Finance",Senior Digital Content Manager,82000,10000.0,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,White,92000.0,25.0
35-44,Engineering or Manufacturing,HR Manager,83500,500.0,South Carolina,"Columbia, SC",11 - 20 years,11 - 20 years,Master's degree,Woman,White,84000.0,45.0
25-34,Nonprofits,Prospect Researcher,44500,0.0,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,Master's degree,Woman,White,44500.0,42.0
25-34,Nonprofits,Director of Engagement and Annual Giving,107500,0.0,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,107500.0,36.0
45-54,Government and Public Administration,Assistant Deputy Director,155000,0.0,California,San Francisco Bay Area,11 - 20 years,11 - 20 years,Master's degree,Woman,Another option not listed here or prefer not to answer,155000.0,6.0
25-34,"Marketing, Advertising & PR",Media Planner - Paid Social,82500,0.0,District of Columbia,Washington DC,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,82500.0,11.0
25-34,Education (Higher Education),Assistant Fabrication Manager,34000,0.0,Virginia,"Harrisonburg, VA",8 - 10 years,5-7 years,College degree,Non-binary,White,34000.0,51.0
25-34,Computing or Tech,Customer Support Representative,45000,0.0,New Jersey,Somerset,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,45000.0,34.0
35-44,"Marketing, Advertising & PR",Brand Manager,140000,20000.0,California,San Francisco,11 - 20 years,21 - 30 years,Some college,Woman,Another option not listed here or prefer not to answer,160000.0,6.0
25-34,Computing or Tech,Product Manager,201000,80000.0,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Man,White,281000.0,17.0
25-34,Computing or Tech,Customer Success Manager,115000,28000.0,Colorado,Denver,11 - 20 years,5-7 years,College degree,Woman,White,143000.0,8.0
25-34,Computing or Tech,Software Engineer,80000,3000.0,Minnesota,Minneapolis,1 year or less,1 year or less,Some college,Non-binary,White,83000.0,27.0
25-34,Education (Higher Education),Instructional design librarian,58800,0.0,Illinois,Normal,5-7 years,2 - 4 years,Master's degree,Woman,White,58800.0,17.0
35-44,Government and Public Administration,IT Specialist I,103000,0.0,California,Sacramento,21 - 30 years,11 - 20 years,College degree,Man,White,103000.0,6.0
35-44,Computing or Tech,"Director, Corporate Communications ",170000,34000.0,Massachusetts,Boston,21 - 30 years,11 - 20 years,College degree,Woman,White,204000.0,25.0
25-34,Nonprofits,Managing Editor,80000,0.0,Washington,Seattle,2 - 4 years,11 - 20 years,Master's degree,Woman,White,80000.0,53.0
25-34,Government and Public Administration,Historian,66805,2000.0,Florida,Eglin AFB,8 - 10 years,8 - 10 years,PhD,Woman,White,68805.0,12.0
35-44,Education (Higher Education),Systems Librarian,54000,0.0,North Dakota,Grand Forks,1 year or less,1 year or less,Master's degree,Woman,White,54000.0,38.0
35-44,Engineering or Manufacturing,Project Manager Specialist,165000,0.0,Washington,Redmond,11 - 20 years,11 - 20 years,Master's degree,Woman,White,165000.0,53.0
45-54,"Accounting, Banking & Finance",Sr. Database Analyst,102000,0.0,Texas,Dallas,21 - 30 years,21 - 30 years,Master's degree,Woman,White,102000.0,48.0
35-44,Nonprofits,Director,110000,0.0,Virginia,Annandale,11 - 20 years,11 - 20 years,Master's degree,Woman,White,110000.0,51.0
35-44,Nonprofits,Senior Development Manager,72100,0.0,New York,New York City,8 - 10 years,8 - 10 years,Master's degree,Woman,White,72100.0,36.0
45-54,Health care,HR Business Partner,145000,15000.0,California,Oakland,21 - 30 years,21 - 30 years,College degree,Woman,White,160000.0,6.0
55-64,Engineering or Manufacturing,Controller,100000,4000.0,Vermont,Rutland,21 - 30 years,21 - 30 years,College degree,Woman,White,104000.0,50.0
35-44,Education (Higher Education),Senior Research Analyst,70600,0.0,Iowa,Ames,5-7 years,5-7 years,PhD,Woman,White,70600.0,19.0
35-44,Nonprofits,Director of Donor Relations,92000,3000.0,New Jersey,Concord,11 - 20 years,8 - 10 years,Master's degree,Woman,White,95000.0,34.0
55-64,Government and Public Administration,State Librarian & Associate Vice Chancellor for Libraries,165000,0.0,Georgia,Atlanta,31 - 40 years,31 - 40 years,Master's degree,Woman,White,165000.0,13.0
55-64,Law,Word Processor,39917,400.0,Indiana,South Bend,31 - 40 years,21 - 30 years,Master's degree,Woman,White,40317.0,18.0
35-44,Education (Primary/Secondary),9-12 grade teacher,53000,900.0,Arkansas,Siloam Springs,11 - 20 years,11 - 20 years,College degree,Woman,White,53900.0,5.0
25-34,Nonprofits,Advocacy and Grassroot Specialist,59400,0.0,District of Columbia,District of Columbia,2 - 4 years,2 - 4 years,Master's degree,Woman,White,59400.0,11.0
18-24,Engineering or Manufacturing,Quality Engineer,54075,0.0,California,Irvine,1 year or less,1 year or less,College degree,Man,White,54075.0,6.0
25-34,Government and Public Administration,Budget Analyst,53895,0.0,Tennessee,Nashville,2 - 4 years,2 - 4 years,Master's degree,Woman,White,53895.0,47.0
35-44,Health care,Sales Operations,76000,5000.0,New Jersey,princeton ,11 - 20 years,11 - 20 years,Some college,Woman,White,81000.0,34.0
25-34,Engineering or Manufacturing,Engineer in Training (Civil),67080,0.0,Iowa,Des Moines,2 - 4 years,2 - 4 years,Master's degree,Woman,White,67080.0,19.0
25-34,Education (Higher Education),"Assistant Director, Data Integrity",72000,0.0,Massachusetts,Cambridge,8 - 10 years,8 - 10 years,Master's degree,Woman,White,72000.0,25.0
35-44,"Accounting, Banking & Finance",Senior Tax/Fixed Asset Specialist,53000,3000.0,Alabama,Montgomery,21 - 30 years,21 - 30 years,College degree,Woman,White,56000.0,1.0
35-44,Government and Public Administration,Deputy Director,103500,6500.0,Massachusetts,Boston,11 - 20 years,5-7 years,Master's degree,Woman,White,110000.0,25.0
35-44,Government and Public Administration,Director of Accounting,139000,18000.0,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Woman,White,157000.0,48.0
